t,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,
1.78141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91631e-74,1.84721e-69,2.02003e-65,1.11215e-61,3.8776e-58,9.5397e-55,1.76267e-51,2.54633e-48,2.95621e-45,2.8128e-42,2.22471e-39,1.47759e-36,8.29982e-34,3.96104e-31,1.61002e-28,5.57607e-26,1.64307e-23,4.10495e-21,8.64664e-19,1.52324e-16,2.21968e-14,2.63668e-12,2.50427e-10,1.8538e-08,1.03355e-06,4.14089e-05,0.00111483,0.0182064,0.151565,0.453461,0.297934,0.594185,0.787832,0.87465,0.922738,0.93907,0.922738,0.87465,0.787832,0.594185,0.297934,0.453461,0.151565,0.0182064,0.00111483,4.14089e-05,1.03355e-06,1.8538e-08,2.50427e-10,2.63668e-12,2.21968e-14,1.52324e-16,8.64664e-19,4.10495e-21,1.64307e-23,5.57607e-26,1.61002e-28,3.96104e-31,8.29982e-34,1.47759e-36,2.22471e-39,2.8128e-42,2.95621e-45,2.54633e-48,1.76267e-51,9.5397e-55,3.8776e-58,1.11215e-61,2.02003e-65,1.84721e-69,3.91631e-74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.95477,0,0,0,0,0,0,0,0,0,0,0,0,1.77213e-81,9.99852e-77,1.27494e-72,8.09418e-69,3.24214e-65,9.16461e-62,1.95004e-58,3.25585e-55,4.38937e-52,4.87733e-49,4.5349e-46,3.56804e-43,2.39533e-40,1.38025e-37,6.85421e-35,2.94027e-32,1.09046e-29,3.49424e-27,9.65407e-25,2.29144e-22,4.64767e-20,7.99735e-18,1.15637e-15,1.38783e-13,1.36074e-11,1.06795e-09,6.53311e-08,3.00748e-06,9.93047e-05,0.00219638,0.0293048,0.197208,0.468247,0.304086,0.558145,0.772661,0.864385,0.911386,0.927089,0.911386,0.864385,0.772661,0.558145,0.304086,0.468247,0.197208,0.0293048,0.00219638,9.93047e-05,3.00748e-06,6.53311e-08,1.06795e-09,1.36074e-11,1.38783e-13,1.15637e-15,7.99735e-18,4.64767e-20,2.29144e-22,9.65407e-25,3.49424e-27,1.09046e-29,2.94027e-32,6.85421e-35,1.38025e-37,2.39533e-40,3.56804e-43,4.5349e-46,4.87733e-49,4.38937e-52,3.25585e-55,1.95004e-58,9.16461e-62,3.24214e-65,8.09418e-69,1.27494e-72,9.99852e-77,1.77213e-81,0,0,0,0,0,0,0,0,0,0,0,0
2.12814,0,0,0,0,0,0,0,0,0,8.01889e-89,5.33309e-84,7.8426e-80,5.68246e-76,2.58655e-72,8.30103e-69,2.00745e-65,3.81817e-62,5.88296e-59,7.50132e-56,8.04211e-53,7.33664e-50,5.74742e-47,3.89297e-44,2.29151e-41,1.17636e-38,5.27842e-36,2.07237e-33,7.11839e-31,2.13659e-28,5.59051e-26,1.2706e-23,2.49599e-21,4.21037e-19,6.04821e-17,7.32131e-15,7.3698e-13,6.06704e-11,3.99892e-09,2.0535e-07,7.9254e-06,0.000218927,0.00403662,0.0446234,0.245913,0.470057,0.322709,0.520944,0.753811,0.852771,0.899091,0.914163,0.899091,0.852771,0.753811,0.520944,0.322709,0.470057,0.245913,0.0446234,0.00403662,0.000218927,7.9254e-06,2.0535e-07,3.99892e-09,6.06704e-11,7.3698e-13,7.32131e-15,6.04821e-17,4.21037e-19,2.49599e-21,1.2706e-23,5.59051e-26,2.13659e-28,7.11839e-31,2.07237e-33,5.27842e-36,1.17636e-38,2.29151e-41,3.89297e-44,5.74742e-47,7.33664e-50,8.04211e-53,7.50132e-56,5.88296e-59,3.81817e-62,2.00745e-65,8.30103e-69,2.58655e-72,5.68246e-76,7.8426e-80,5.33309e-84,8.01889e-89,0,0,0,0,0,0,0,0,0
2.3015,0,0,0,0,0,0,3.62855e-96,2.80937e-91,4.71927e-87,3.86835e-83,1.98293e-79,7.1553e-76,1.94599e-72,4.16819e-69,7.24856e-66,1.04622e-62,1.27415e-59,1.32589e-56,1.19044e-53,9.29161e-51,6.34125e-48,3.80062e-45,2.00679e-42,9.35464e-40,3.85409e-37,1.40373e-34,4.51673e-32,1.28196e-29,3.20147e-27,7.01038e-25,1.33984e-22,2.22196e-20,3.174e-18,3.87007e-16,3.98284e-14,3.41186e-12,2.39109e-10,1.34135e-08,5.85757e-07,1.91964e-05,0.000449194,0.00698877,0.0647522,0.295285,0.460786,0.351642,0.484795,0.730956,0.839571,0.885856,0.900332,0.885856,0.839571,0.730956,0.484795,0.351642,0.460786,0.295285,0.0647522,0.00698877,0.000449194,1.91964e-05,5.85757e-07,1.34135e-08,2.39109e-10,3.41186e-12,3.98284e-14,3.87007e-16,3.174e-18,2.22196e-20,1.33984e-22,7.01038e-25,3.20147e-27,1.28196e-29,4.51673e-32,1.40373e-34,3.85409e-37,9.35464e-40,2.00679e-42,3.80062e-45,6.34125e-48,9.29161e-51,1.19044e-53,1.32589e-56,1.27415e-59,1.04622e-62,7.24856e-66,4.16819e-69,1.94599e-72,7.1553e-76,1.98293e-79,3.86835e-83,4.71927e-87,2.80937e-91,3.62855e-96,0,0,0,0,0,0
2.48327,0,0,0,2.18129e-103,1.93247e-98,3.65384e-94,3.34114e-90,1.9018e-86,7.60468e-83,2.29084e-79,5.43843e-76,1.04969e-72,1.68496e-69,2.28801e-66,2.66286e-63,2.68349e-60,2.3605e-57,1.82396e-54,1.24418e-51,7.52088e-49,4.04012e-46,1.93247e-43,8.24004e-41,3.13353e-38,1.06243e-35,3.20849e-33,8.61558e-31,2.05196e-28,4.32028e-26,8.00697e-24,1.29939e-21,1.83442e-19,2.23514e-17,2.32788e-15,2.04816e-13,1.50057e-11,8.99311e-10,4.31175e-08,1.60746e-06,4.48935e-05,0.000892772,0.011752,0.0914064,0.344909,0.442318,0.389684,0.45057,0.702581,0.823709,0.870949,0.884895,0.870949,0.823709,0.702581,0.45057,0.389684,0.442318,0.344909,0.0914064,0.011752,0.000892772,4.48935e-05,1.60746e-06,4.31175e-08,8.99311e-10,1.50057e-11,2.04816e-13,2.32788e-15,2.23514e-17,1.83442e-19,1.29939e-21,8.00697e-24,4.32028e-26,2.05196e-28,8.61558e-31,3.20849e-33,1.06243e-35,3.13353e-38,8.24004e-41,1.93247e-43,4.04012e-46,7.52088e-49,1.24418e-51,1.82396e-54,2.3605e-57,2.68349e-60,2.66286e-63,2.28801e-66,1.68496e-69,1.04969e-72,5.43843e-76,2.29084e-79,7.60468e-83,1.9018e-86,3.34114e-90,3.65384e-94,1.93247e-98,2.18129e-103,0,0,0
2.6812,4.37195e-110,2.17477e-105,4.5521e-101,4.5708e-97,2.84404e-93,1.24027e-89,4.07095e-86,1.05307e-82,2.21642e-79,3.88465e-76,5.76974e-73,7.36099e-70,8.15287e-67,7.90589e-64,6.75764e-61,5.11909e-58,3.45152e-55,2.07828e-52,1.12043e-49,5.41802e-47,2.3528e-44,9.1804e-42,3.21854e-39,1.01324e-36,2.86096e-34,7.23224e-32,1.63281e-29,3.28199e-27,5.85025e-25,9.2038e-23,1.27056e-20,1.52835e-18,1.58859e-16,1.41249e-14,1.06134e-12,6.64038e-11,3.39701e-09,1.38899e-07,4.4099e-06,0.00010466,0.00176284,0.0195494,0.126907,0.393021,0.416744,0.435205,0.42052,0.666822,0.803646,0.85346,0.867038,0.85346,0.803646,0.666822,0.42052,0.435205,0.416744,0.393021,0.126907,0.0195494,0.00176284,0.00010466,4.4099e-06,1.38899e-07,3.39701e-09,6.64038e-11,1.06134e-12,1.41249e-14,1.58859e-16,1.52835e-18,1.27056e-20,9.2038e-23,5.85025e-25,3.28199e-27,1.63281e-29,7.23224e-32,2.86096e-34,1.01324e-36,3.21854e-39,9.1804e-42,2.3528e-44,5.41802e-47,1.12043e-49,2.07828e-52,3.45152e-55,5.11909e-58,6.75764e-61,7.90589e-64,8.15287e-67,7.36099e-70,5.76974e-73,3.88465e-76,2.21642e-79,1.05307e-82,4.07095e-86,1.24027e-89,2.84404e-93,4.5708e-97,4.5521e-101,2.17477e-105,4.37195e-110
2.89116,1.72313e-103,5.80206e-100,2.73188e-96,9.6701e-93,2.69678e-89,6.12102e-86,1.15787e-82,1.85835e-79,2.56601e-76,3.08193e-73,3.24817e-70,3.02546e-67,2.50486e-64,1.85201e-61,1.22745e-58,7.31405e-56,3.92745e-53,1.90371e-50,8.33925e-48,3.30347e-45,1.18358e-42,3.83411e-40,1.12207e-37,2.96283e-35,7.04585e-33,1.50549e-30,2.88177e-28,4.92386e-26,7.47701e-24,1.00384e-21,1.18421e-19,1.21852e-17,1.08412e-15,8.25354e-14,5.30998e-12,2.84354e-10,1.24417e-08,4.34609e-07,1.17681e-05,0.000237598,0.00339147,0.0316738,0.171274,0.433708,0.389473,0.481998,0.39977,0.624284,0.77863,0.833347,0.84693,0.833347,0.77863,0.624284,0.39977,0.481998,0.389473,0.433708,0.171274,0.0316738,0.00339147,0.000237598,1.17681e-05,4.34609e-07,1.24417e-08,2.84354e-10,5.30998e-12,8.25354e-14,1.08412e-15,1.21852e-17,1.18421e-19,1.00384e-21,7.47701e-24,4.92386e-26,2.88177e-28,1.50549e-30,7.04585e-33,2.96283e-35,1.12207e-37,3.83411e-40,1.18358e-42,3.30347e-45,8.33925e-48,1.90371e-50,3.92745e-53,7.31405e-56,1.22745e-58,1.85201e-61,2.50486e-64,3.02546e-67,3.24817e-70,3.08193e-73,2.56601e-76,1.85835e-79,1.15787e-82,6.12102e-86,2.69678e-89,9.6701e-93,2.73188e-96,5.80206e-100,1.72313e-103
3.10113,4.49587e-99,6.73504e-96,1.64245e-92,3.33983e-89,5.7674e-86,8.57886e-83,1.11166e-79,1.26633e-76,1.27751e-73,1.14829e-70,9.24199e-68,6.68766e-65,4.36533e-62,2.57723e-59,1.37909e-56,6.69919e-54,2.95754e-51,1.18745e-48,4.33706e-46,1.44083e-43,4.35149e-41,1.19362e-38,2.96969e-36,6.68952e-34,1.36125e-31,2.49536e-29,4.1071e-27,6.04528e-25,7.92025e-23,9.18553e-21,9.36897e-19,8.34032e-17,6.42186e-15,4.23136e-13,2.35551e-11,1.09086e-09,4.12408e-08,1.24314e-06,2.89924e-05,0.00050278,0.00613818,0.0486935,0.220985,0.461016,0.36811,0.521215,0.392404,0.57871,0.749237,0.811413,0.82562,0.811413,0.749237,0.57871,0.392404,0.521215,0.36811,0.461016,0.220985,0.0486935,0.00613818,0.00050278,2.89924e-05,1.24314e-06,4.12408e-08,1.09086e-09,2.35551e-11,4.23136e-13,6.42186e-15,8.34032e-17,9.36897e-19,9.18553e-21,7.92025e-23,6.04528e-25,4.1071e-27,2.49536e-29,1.36125e-31,6.68952e-34,2.96969e-36,1.19362e-38,4.35149e-41,1.44083e-43,4.33706e-46,1.18745e-48,2.95754e-51,6.69919e-54,1.37909e-56,2.57723e-59,4.36533e-62,6.68766e-65,9.24199e-68,1.14829e-70,1.27751e-73,1.26633e-76,1.11166e-79,8.57886e-83,5.7674e-86,3.33983e-89,1.64245e-92,6.73504e-96,4.49587e-99
3.28128,8.55442e-96,8.04106e-93,1.30356e-89,1.84344e-86,2.29537e-83,2.53579e-80,2.50114e-77,2.21406e-74,1.7666e-71,1.27509e-68,8.34977e-66,4.97252e-63,2.69822e-60,1.33603e-57,6.04308e-55,2.49868e-52,9.44761e-50,3.26661e-47,1.0325e-44,2.98138e-42,7.85655e-40,1.88686e-37,4.12269e-35,8.1774e-33,1.46863e-30,2.38085e-28,3.4713e-26,4.53255e-24,5.27388e-22,5.4368e-20,4.93236e-18,3.90699e-16,2.67726e-14,1.56982e-12,7.7744e-11,3.20127e-09,1.07518e-07,2.8757e-06,5.94036e-05,0.000910109,0.00977741,0.0678131,0.266085,0.472867,0.358157,0.545224,0.397073,0.538977,0.720236,0.790915,0.806336,0.790915,0.720236,0.538977,0.397073,0.545224,0.358157,0.472867,0.266085,0.0678131,0.00977741,0.000910109,5.94036e-05,2.8757e-06,1.07518e-07,3.20127e-09,7.7744e-11,1.56982e-12,2.67726e-14,3.90699e-16,4.93236e-18,5.4368e-20,5.27388e-22,4.53255e-24,3.4713e-26,2.38085e-28,1.46863e-30,8.1774e-33,4.12269e-35,1.88686e-37,7.85655e-40,2.98138e-42,1.0325e-44,3.26661e-47,9.44761e-50,2.49868e-52,6.04308e-55,1.33603e-57,2.69822e-60,4.97252e-63,8.34977e-66,1.27509e-68,1.7666e-71,2.21406e-74,2.50114e-77,2.53579e-80,2.29537e-83,1.84344e-86,1.30356e-89,8.04106e-93,8.55442e-96
3.46144,5.78313e-93,3.91266e-90,4.70422e-87,5.0582e-84,4.89038e-81,4.27062e-78,3.38132e-75,2.43501e-72,1.59911e-69,9.59741e-67,5.27337e-64,2.65628e-61,1.22788e-58,5.21244e-56,2.03283e-53,7.28424e-51,2.39778e-48,7.24727e-46,2.00978e-43,5.10826e-41,1.18837e-38,2.52607e-36,4.89622e-34,8.63251e-32,1.38047e-29,1.99562e-27,2.5978e-25,3.03155e-23,3.15503e-21,2.91087e-19,2.36432e-17,1.67706e-15,1.02907e-13,5.40213e-12,2.39419e-10,8.81674e-09,2.64574e-07,6.31413e-06,0.000116162,0.0015806,0.0150168,0.0914648,0.311445,0.474367,0.357888,0.558463,0.411079,0.500531,0.687663,0.768622,0.786046,0.768622,0.687663,0.500531,0.411079,0.558463,0.357888,0.474367,0.311445,0.0914648,0.0150168,0.0015806,0.000116162,6.31413e-06,2.64574e-07,8.81674e-09,2.39419e-10,5.40213e-12,1.02907e-13,1.67706e-15,2.36432e-17,2.91087e-19,3.15503e-21,3.03155e-23,2.5978e-25,1.99562e-27,1.38047e-29,8.63251e-32,4.89622e-34,2.52607e-36,1.18837e-38,5.10826e-41,2.00978e-43,7.24727e-46,2.39778e-48,7.28424e-51,2.03283e-53,5.21244e-56,1.22788e-58,2.65628e-61,5.27337e-64,9.59741e-67,1.59911e-69,2.43501e-72,3.38132e-75,4.27062e-78,4.89038e-81,5.0582e-84,4.70422e-87,3.91266e-90,5.78313e-93
