t,Vr-->,z_V,0,1,2,3,4,5,6
0.252641,20,2.60847e-09,2.60847e-09,2.60847e-09,2.60847e-09,2.60847e-09,2.60847e-09,2.60847e-09,
0.252641,25,2.63155e-11,2.63155e-11,2.63155e-11,2.63155e-11,2.63155e-11,2.63155e-11,2.63155e-11,
0.252641,30,2.21398e-13,2.21398e-13,2.21398e-13,2.21398e-13,2.21398e-13,2.21398e-13,2.21398e-13,
0.252641,35,1.59779e-15,1.59779e-15,1.59779e-15,1.59779e-15,1.59779e-15,1.59779e-15,1.59779e-15,
0.252641,40,1.00924e-17,1.00924e-17,1.00924e-17,1.00924e-17,1.00924e-17,1.00924e-17,1.00924e-17,
0.252641,45,5.6599e-20,5.6599e-20,5.6599e-20,5.6599e-20,5.6599e-20,5.6599e-20,5.6599e-20,
0.252641,50,2.84654e-22,2.84654e-22,2.84654e-22,2.84654e-22,2.84654e-22,2.84654e-22,2.84654e-22,
0.252641,55,1.29267e-24,1.29267e-24,1.29267e-24,1.29267e-24,1.29267e-24,1.29267e-24,1.29267e-24,
0.252641,60,5.32488e-27,5.32488e-27,5.32488e-27,5.32488e-27,5.32488e-27,5.32488e-27,5.32488e-27,
0.252641,65,1.99525e-29,1.99525e-29,1.99525e-29,1.99525e-29,1.99525e-29,1.99525e-29,1.99525e-29,
0.252641,70,6.80831e-32,6.80831e-32,6.80831e-32,6.80831e-32,6.80831e-32,6.80831e-32,6.80831e-32,
0.252641,75,2.11445e-34,2.11445e-34,2.11445e-34,2.11445e-34,2.11445e-34,2.11445e-34,2.11445e-34,
0.252641,80,5.96356e-37,5.96356e-37,5.96356e-37,5.96356e-37,5.96356e-37,5.96356e-37,5.96356e-37,
0.252641,85,1.52138e-39,1.52138e-39,1.52138e-39,1.52138e-39,1.52138e-39,1.52138e-39,1.52138e-39,
0.252641,90,3.48929e-42,3.48929e-42,3.48929e-42,3.48929e-42,3.48929e-42,3.48929e-42,3.48929e-42,
0.252641,95,7.1249e-45,7.1249e-45,7.1249e-45,7.1249e-45,7.1249e-45,7.1249e-45,7.1249e-45,
0.252641,100,1.2765e-47,1.2765e-47,1.2765e-47,1.2765e-47,1.2765e-47,1.2765e-47,1.2765e-47,

0.252641,5,305.004,305.006,304.999,304.99,305.004,305.931,313.36,
0.252641,10,305.004,305.006,304.999,304.989,305.005,305.96,313.522,
0.252641,15,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,20,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,25,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,30,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,35,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,40,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,45,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,50,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
0.252641,55,305.004,305.006,304.999,304.989,305.005,305.96,313.524,
